stock_name,2013,2014,2015,2016,2017,2018,2019,2020
GS글로벌,847.0,320.0,2072.0,290.0,257.0,249.0,207.0,974.0
GS리테일,1546.0,1445.0,2133.0,3562.0,1535.0,1566.0,1729.0,2187.0
GV,116.0,65.0,123.0,105.0,211.0,256.0,0.0,0.0
HB솔루션,,,,,,,1557.0,374.0
HB테크놀러지,385.0,18.0,90.0,388.0,489.0,88.0,41.0,47.0
HDC,2836.0,936.0,2318.0,4168.0,5496.0,15943.0,4460.0,1869.0
HDC아이콘트롤스,1911.0,11144.0,2223.0,1146.0,1443.0,1473.0,358.0,1012.0
HDC현대EP,694.0,875.0,1406.0,1603.0,1002.0,275.0,445.0,477.0
HDC현대산업개발,,,,0.0,0.0,5232.0,9417.0,3924.0
HK이노엔,,,,,,,661.0,1257.0
HMM,4507.0,198.0,3068.0,5026.0,6219.0,4139.0,2063.0,103.0
HRS,147.0,295.0,257.0,243.0,384.0,457.0,60.0,571.0
HSD엔진,75.0,608.0,1805.0,2608.0,149.0,385.0,1258.0,184.0
IBKS제12호스팩,,,,,,,21.0,10.0
IBKS제13호스팩,,,,,,,0.0,8.0
IBKS제14호스팩,,,,,,,0.0,0.0
IBKS제15호스팩,,,,,,,,
IBKS제16호스팩,,,,,,,,
IHQ,,,,,,,,
ISC,1074.0,1012.0,873.0,771.0,1285.0,1061.0,312.0,454.0
ITX-AI,210.0,159.0,1175.0,499.0,24.0,118.0,309.0,166.0
JB금융지주,406.0,5281.0,881.0,918.0,1124.0,1391.0,1641.0,1774.0
JTC,,,,12565.0,2782.0,977.0,301.0,302.0
JW생명과학,265.0,1182.0,1625.0,1915.0,2120.0,999.0,1385.0,1065.0
JW신약,22.0,22.0,7.0,12.0,154.0,182.0,35.0,155.0
JW중외제약,173.0,206.0,95.0,604.0,75.0,343.0,1129.0,676.0
JW홀딩스,350.0,168.0,2.0,148.0,859.0,367.0,543.0,161.0
JYP Ent.,144.0,246.0,102.0,268.0,507.0,731.0,947.0,892.0
KBI메탈,151.0,84.0,117.0,149.0,204.0,137.0,196.0,56.0
KB금융,3291.0,3626.0,4396.0,5588.0,8305.0,7721.0,8451.0,8809.0
KB오토시스,363.0,311.0,470.0,1241.0,1068.0,1109.0,930.0,289.0
KCC,,,,,,,,
KCC건설,24266.0,99.0,3984.0,778.0,1051.0,1127.0,1319.0,1806.0
KCC글라스,,,,,,,,
KCI,214.0,302.0,500.0,617.0,370.0,826.0,1061.0,987.0
KCTC,,,,,,,,
KC그린홀딩스,418.0,111.0,615.0,211.0,232.0,579.0,369.0,1672.0
KC코트렐,381.0,765.0,661.0,77.0,517.0,320.0,149.0,4941.0
KD,208.0,66.0,2.0,0.0,283.0,236.0,555.0,272.0
KEC,1076.0,89.0,15.0,4.0,10.0,13.0,167.0,388.0
KG ETS,369.0,450.0,566.0,138.0,327.0,317.0,2789.0,2065.0
KG동부제철,3102.0,149411.0,2466.0,4067.0,19037.0,2735.0,925.0,668.0
KG모빌리언스,489.0,811.0,402.0,546.0,439.0,418.0,619.0,848.0
KG이니시스,680.0,717.0,35.0,316.0,14.0,1310.0,1847.0,1771.0
KG케미칼,444.0,1275.0,1566.0,1924.0,1678.0,274.0,7691.0,3358.0
KH E&T,0.0,0.0,1.0,0.0,0.0,120.0,180.0,872.0
KH 일렉트론,764.0,179.0,688.0,776.0,385.0,59.0,276.0,629.0
KH 필룩스,172.0,207.0,121.0,218.0,149.0,244.0,168.0,535.0
KH바텍,2978.0,1341.0,1069.0,926.0,1966.0,2014.0,518.0,604.0
KISCO홀딩스,4139.0,1665.0,14283.0,2999.0,841.0,1658.0,2909.0,2260.0
KMH,640.0,713.0,699.0,0.0,0.0,0.0,668.0,1436.0
KMH하이텍,2236.0,145.0,15.0,45.0,9.0,100.0,48.0,34.0
KNN,898.0,426.0,525.0,52.0,72.0,59.0,61.0,46.0
KPX생명과학,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0
KPX케미칼,5190.0,8243.0,6968.0,6782.0,5543.0,2325.0,8759.0,13307.0
KPX홀딩스,1660.0,6713.0,8324.0,7238.0,9872.0,901.0,8406.0,34397.0
KR모터스,52.0,105.0,99.0,89.0,267.0,189.0,214.0,108.0
KSS해운,2274.0,1815.0,2031.0,585.0,1120.0,914.0,1042.0,584.0
KT,,,,,,,,
KT&G,,,,,,,,
KTB투자증권,800.0,1012.0,379.0,456.0,447.0,411.0,681.0,1162.0
KTcs,330.0,334.0,296.0,183.0,170.0,271.0,178.0,257.0
KTis,449.0,299.0,440.0,295.0,246.0,232.0,272.0,223.0
KT서브마린,299.0,439.0,202.0,250.0,401.0,209.0,24.0,58.0
LF,2332.0,2782.0,1742.0,1767.0,2519.0,2846.0,2313.0,605.0
LG,5097.0,4804.0,5371.0,6114.0,13630.0,10603.0,6143.0,8338.0
LG디스플레이,1191.0,2527.0,2701.0,2534.0,5038.0,579.0,7908.0,250.0
LG생활건강,21311.0,20842.0,27467.0,33905.0,36184.0,40740.0,46431.0,47596.0
LG유플러스,640.0,523.0,805.0,1129.0,1253.0,1103.0,1005.0,1069.0
LG이노텍,771.0,4761.0,4018.0,209.0,7386.0,6892.0,4323.0,9978.0
LG전자,977.0,2213.0,686.0,422.0,9579.0,6882.0,169.0,10926.0
LG헬로비전,753.0,332.0,772.0,278.0,373.0,512.0,1217.0,4039.0
LG화학,17211.0,11798.0,15674.0,17417.0,25367.0,19217.0,4085.0,6666.0
LIG넥스원,2689.0,2528.0,4044.0,3502.0,431.0,203.0,145.0,2664.0
LS,4943.0,2345.0,3553.0,6056.0,10691.0,14555.0,912.0,4568.0
LS ELECTRIC,,,,,,,,
LS네트웍스,257.0,7.0,1037.0,1186.0,280.0,222.0,942.0,336.0
LS전선아시아,,,,436.0,419.0,323.0,523.0,240.0
LX세미콘,2048.0,2033.0,3018.0,3116.0,2894.0,3010.0,2370.0,4459.0
LX인터내셔널,1246.0,341.0,6090.0,1504.0,1557.0,1820.0,739.0,7932.0
LX하우시스,7333.0,6456.0,7187.0,7524.0,6796.0,5327.0,1154.0,7733.0
LX홀딩스,,,,,,,,
MH에탄올,1022.0,26.0,1063.0,1129.0,942.0,87.0,79.0,1049.0
NAVER,50227.0,15277.0,17619.0,26153.0,26650.0,4403.0,6420.0,7857.0
NEW,2661.0,161.0,50.0,160.0,287.0,504.0,309.0,199.0
NE능률,457.0,291.0,535.0,522.0,50.0,0.0,0.0,0.0
NHN,,,,,,,,
NHN벅스,662.0,632.0,366.0,251.0,346.0,407.0,341.0,292.0
NHN한국사이버결제,404.0,561.0,488.0,577.0,565.0,800.0,1109.0,1376.0
NH올원리츠,,,,,,,,
NH투자증권,143.0,315.0,683.0,789.0,1167.0,1203.0,1585.0,1923.0
NH프라임리츠,,,,,,,609.0,134.0
NICE,1090.0,848.0,787.0,1473.0,1388.0,1604.0,771.0,447.0
NICE평가정보,256.0,294.0,366.0,466.0,512.0,641.0,682.0,789.0
NI스틸,262.0,186.0,250.0,360.0,386.0,358.0,224.0,424.0
NPC,,,,,,,,
OCI,13741.0,835.0,4206.0,10152.0,9849.0,4352.0,33308.0,10381.0
OQP,76.0,70.0,108.0,0.0,0.0,435.0,114.0,2446.0
PI첨단소재,6993.0,660.0,578.0,714.0,1116.0,1191.0,603.0,1421.0
PN풍년,104.0,113.0,140.0,0.0,0.0,0.0,0.0,0.0
POSCO,,,,,,,,
RFHIC,0.0,0.0,7.0,272.0,293.0,1084.0,857.0,85.0
RF머트리얼즈,,,,,,,0.0,171.0
S&K폴리텍,521.0,177.0,222.0,328.0,374.0,716.0,1368.0,556.0
S-Oil,2487.0,2473.0,5422.0,10353.0,10706.0,2216.0,561.0,6839.0
SBI인베스트먼트,24.0,11.0,8.0,19.0,17.0,16.0,71.0,86.0
SBI핀테크솔루션즈,,,,204.0,197.0,353.0,414.0,404.0
SBS,1338.0,371.0,1929.0,29.0,850.0,275.0,1114.0,3845.0
SBS미디어홀딩스,224.0,118.0,161.0,90.0,34.0,81.0,761.0,504.0
SBS콘텐츠허브,1149.0,409.0,283.0,145.0,283.0,385.0,26.0,389.0
SCI평가정보,16.0,5.0,21.0,11.0,3.0,44.0,141.0,179.0
SDN,167.0,283.0,27.0,28.0,78.0,52.0,93.0,176.0
SFA반도체,50.0,1166.0,308.0,51.0,68.0,90.0,146.0,102.0
SG,,,,900.0,1203.0,861.0,287.0,23.0
SG&G,899.0,744.0,263.0,647.0,32.0,118.0,49.0,787.0
SGA,10.0,55.0,21.0,0.0,210.0,45.0,346.0,81.0
SGA솔루션즈,199.0,292.0,121.0,111.0,70.0,333.0,702.0,158.0
SGC에너지,1937.0,4478.0,4728.0,3621.0,1064.0,2372.0,42.0,1792.0
SGC이테크건설,9842.0,6922.0,8793.0,13275.0,10678.0,13248.0,7394.0,71992.0
SG글로벌,55.0,36.0,164.0,32.0,8.0,74.0,17.0,51.0
SG세계물산,19.0,33.0,7.0,19.0,32.0,33.0,126.0,71.0
SHD,1645.0,416.0,1590.0,474.0,1711.0,535.0,0.0,0.0
SH에너지화학,44.0,147.0,113.0,162.0,86.0,21.0,26.0,62.0
SIMPAC,742.0,530.0,608.0,603.0,282.0,1678.0,157.0,586.0
SJM,,,,,,,,
SJM홀딩스,,,,,,,,
SK,,,,,,,,
SK5호스팩,,,,,,,0.0,0.0
SK6호스팩,,,,,,,0.0,0.0
SKC,1580.0,1931.0,7488.0,1162.0,3104.0,3404.0,1586.0,2471.0
SK가스,12033.0,11447.0,8130.0,19434.0,11647.0,6820.0,17779.0,29674.0
SK네트웍스,2289.0,129.0,296.0,329.0,136.0,30.0,547.0,153.0
SK디스커버리,1520.0,1235.0,2708.0,3452.0,30597.0,3942.0,8846.0,13096.0
SK디앤디,6042.0,14321.0,2194.0,2528.0,3362.0,3237.0,2365.0,2505.0
SK렌터카,813.0,860.0,791.0,293.0,440.0,172.0,740.0,494.0
SK리츠,,,,,,,,
SK머티리얼즈,33.0,1289.0,6270.0,10299.0,10124.0,11536.0,13507.0,13940.0
SK바이오사이언스,,,,0.0,0.0,210.0,240.0,537.0
SK바이오팜,,,,,,,,
SK스퀘어,,,,,,,,
SK아이이테크놀로지,,,,,,,,
SK이노베이션,7832.0,6404.0,8744.0,17934.0,22574.0,18267.0,434.0,25729.0
SK증권,148.0,11.0,73.0,36.0,60.0,43.0,67.0,25.0
SK케미칼,,,,0.0,655.0,457.0,802.0,19421.0
SK텔레콤,23211.0,25154.0,20988.0,23497.0,36582.0,44066.0,12127.0,20463.0
SK하이닉스,4045.0,5842.0,6002.0,4184.0,15073.0,22255.0,2933.0,6952.0
SM C&C,15.0,129.0,69.0,7.0,192.0,19.0,40.0,152.0
SM Life Design,799.0,499.0,462.0,120.0,20.0,47.0,67.0,68.0
SNK,,,,,,,170069.0,105549.0
SNT모티브,2495.0,4371.0,6034.0,2316.0,3888.0,4005.0,181.0,3952.0
SNT에너지,2285.0,1590.0,3815.0,227.0,647.0,257.0,2148.0,1414.0
SNT중공업,230.0,85.0,1077.0,807.0,1029.0,733.0,622.0,329.0
SNT홀딩스,1496.0,1940.0,2141.0,169.0,418.0,1701.0,4072.0,40489.0
SPC삼립,1765.0,2006.0,1910.0,5914.0,4685.0,5199.0,2492.0,1537.0
STX,1198970.0,15611.0,1642.0,145969.0,20985.0,471.0,1664.0,1032.0
STX엔진,196929.0,12098.0,1839.0,1218.0,291.0,1213.0,703.0,713.0
STX중공업,,,,,,,,
SUN&L,239.0,204.0,354.0,708.0,583.0,646.0,3081.0,756.0
SV인베스트먼트,,,,,,,313.0,45.0
TBH글로벌,,,,,,,,
TCC스틸,1130.0,848.0,5145.0,689.0,72.0,465.0,229.0,68.0
THE E&M,2503.0,2977.0,1343.0,41.0,200.0,199.0,39.0,197.0
THE MIDONG,523.0,198.0,62.0,242.0,260.0,922.0,240.0,509.0
THQ,1366.0,2062.0,349.0,236.0,180.0,211.0,47.0,404.0
TJ미디어,40.0,16.0,147.0,62.0,120.0,114.0,64.0,176.0
TPC,62.0,187.0,108.0,362.0,307.0,321.0,313.0,307.0
TS인베스트먼트,,,,68.0,76.0,185.0,201.0,332.0
TS트릴리온,,,,,,,86.0,60.0
TYM,223.0,1360.0,405.0,148.0,342.0,114.0,61.0,29.0
UCI,631.0,337.0,169.0,1267.0,1155.0,71.0,623.0,280.0
WI,1416.0,1515.0,62.0,3710.0,2127.0,1563.0,115.0,44.0
WISCOM,328.0,367.0,186.0,126.0,4.0,70.0,68.0,65.0
YBM넷,220.0,62.0,9.0,483.0,170.0,23.0,110.0,100.0
YG PLUS,297.0,272.0,63.0,72.0,140.0,13.0,28.0,1.0
YTN,78.0,259.0,88.0,81.0,108.0,16.0,77.0,186.0
YW,440.0,100.0,102.0,256.0,297.0,235.0,218.0,374.0
iMBC,145.0,92.0,63.0,103.0,5.0,73.0,93.0,47.0
가비아,465.0,271.0,439.0,423.0,370.0,576.0,826.0,935.0
가온미디어,775.0,1068.0,796.0,1400.0,475.0,368.0,1226.0,201.0
가온전선,2227.0,89.0,513.0,696.0,356.0,24.0,1391.0,2418.0
감성코퍼레이션,550.0,840.0,1001.0,599.0,139.0,228.0,133.0,82.0
강남제비스코,6183.0,5928.0,6193.0,5335.0,3567.0,5942.0,2250.0,3583.0
강스템바이오텍,4053.0,520.0,586.0,0.0,1058.0,745.0,1182.0,828.0
강원랜드,1468.0,1772.0,2178.0,2242.0,2159.0,1467.0,,
강원에너지,323.0,80.0,6.0,69.0,407.0,130.0,,
갤럭시아머니트리,399.0,412.0,51.0,118.0,135.0,133.0,122.0,103.0
갤럭시아에스엠,83.0,13.0,85.0,57.0,214.0,581.0,50.0,36.0
게임빌,2313.0,3588.0,3096.0,4549.0,1240.0,307.0,2110.0,3145.0
경남스틸,1201.0,1449.0,1635.0,168.0,827.0,215.0,186.0,0.0
경남제약,,,,,,,,
경남제약헬스케어,410.0,746.0,1389.0,342.0,371.0,249.0,429.0,998.0
경농,782.0,434.0,380.0,365.0,568.0,310.0,254.0,706.0
경동나비엔,880.0,727.0,1316.0,2925.0,2093.0,1961.0,2207.0,3261.0
경동도시가스,,,,0.0,3771.0,7235.0,4167.0,3224.0
경동인베스트,14312.0,20943.0,4456.0,5314.0,20799.0,11998.0,4007.0,6956.0
경동제약,1596.0,2076.0,1194.0,743.0,871.0,222.0,850.0,508.0
경방,5519.0,5193.0,6089.0,1075.0,923.0,740.0,1630.0,499.0
경보제약,8377.0,4014.0,1147.0,531.0,751.0,549.0,221.0,393.0
경인양행,280.0,255.0,48.0,131.0,90.0,331.0,344.0,217.0
경인전자,,,,,,,,
경창산업,1500.0,1384.0,358.0,518.0,1235.0,1301.0,2089.0,135.0
계룡건설,,,,,,,,
계양전기,175.0,191.0,282.0,499.0,255.0,280.0,4.0,294.0
고려산업,196.0,375.0,233.0,288.0,208.0,160.0,182.0,278.0
고려시멘트,,,,,,,,
고려신용정보,26.0,88.0,288.0,267.0,258.0,336.0,476.0,740.0
고려아연,25352.0,28362.0,28820.0,33519.0,35591.0,29841.0,29841.0,35811.0
고려제강,1680.0,16153.0,1076.0,2000.0,1185.0,169.0,29.0,421.0
고려제약,64.0,198.0,162.0,463.0,429.0,601.0,357.0,677.0
고바이오랩,,,,,,,6238.0,5138.0
고영,,,,,,,,
골드앤에스,224.0,840.0,562.0,49.0,381.0,197.0,10098.0,451.0
골드퍼시픽,389.0,268.0,228.0,0.0,0.0,0.0,0.0,0.0
골든센츄리,,,,785.0,642.0,227.0,137.0,123.0
골프존,0.0,0.0,5824.0,5825.0,12645.0,3255.0,2585.0,6101.0
골프존뉴딘홀딩스,77.0,2156.0,23073.0,94.0,505.0,166.0,752.0,659.0
광동제약,538.0,869.0,868.0,692.0,572.0,551.0,582.0,1119.0
광림,,,,,,,,
광명전기,,,,,,,,
광전자,103.0,195.0,97.0,38.0,55.0,126.0,66.0,314.0
광주신세계,30356.0,26397.0,28688.0,28471.0,29904.0,28183.0,29953.0,27120.0
광진실업,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
광진윈텍,306.0,93.0,102.0,229.0,330.0,278.0,223.0,192.0
교보10호스팩,,,,,,,,
교보9호스팩,,,,,,,0.0,0.0
교보증권,325.0,858.0,2276.0,1796.0,2103.0,2216.0,2391.0,2091.0
교촌에프앤비,,,,,,,1411.0,1107.0
구영테크,179.0,123.0,223.0,142.0,81.0,296.0,136.0,29.0
국도화학,5335.0,3495.0,9618.0,4490.0,7101.0,8056.0,6297.0,5376.0
국동,943.0,2011.0,1168.0,1157.0,734.0,221.0,184.0,458.0
국보,,,,,,,,
국보디자인,1458.0,1459.0,1436.0,1463.0,1827.0,1903.0,2249.0,2649.0
국순당,317.0,193.0,214.0,150.0,563.0,153.0,7.0,1181.0
국영지앤엠,32.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
국일신동,255.0,184.0,66.0,38.0,294.0,100.0,9.0,8.0
국일제지,182.0,181.0,861.0,3.0,15.0,19.0,321.0,4.0
국전약품,,,,,,,,
국제약품,144.0,447.0,377.0,46.0,66.0,128.0,272.0,126.0
그리티,,,,410.0,919.0,572.0,89.0,49.0
그린케미칼,,,,,,,,
그린플러스,137.0,151.0,853.0,0.0,647.0,799.0,667.0,208.0
극동유화,3711.0,2667.0,4155.0,401.0,233.0,484.0,422.0,213.0
글로벌에스엠,428.0,111.0,5.0,75.0,7.0,8.0,32.0,28.0
글로벌텍스프리,,,,,,,,
글로본,,,,0.0,0.0,0.0,0.0,0.0
금강공업,3586.0,4164.0,1214.0,6933.0,5400.0,3264.0,406.0,67.0
금강철강,,,,,,,,
금비,493.0,971.0,6049.0,11731.0,4344.0,8486.0,8088.0,4267.0
금양,20.0,3.0,430.0,608.0,517.0,533.0,279.0,95.0
금호건설,,,,,,,,
금호석유,,,,,,,,
금호에이치티,734.0,1345.0,1572.0,967.0,505.0,632.0,1.0,105.0
금호전기,3543.0,978.0,7974.0,3546.0,3095.0,10532.0,2365.0,939.0
금호타이어,695.0,860.0,439.0,174.0,796.0,830.0,151.0,289.0
금화피에스시,3855.0,3565.0,3773.0,3773.0,3441.0,6615.0,4614.0,5034.0
기가레인,,,,,,,,
기산텔레콤,249.0,181.0,106.0,173.0,331.0,228.0,231.0,3.0
기신정기,,,,254.0,10.0,299.0,516.0,298.0
기아,9425.0,7393.0,6559.0,6873.0,2414.0,2883.0,4556.0,3710.0
기업은행,1266.0,1539.0,1672.0,1647.0,2178.0,2531.0,2242.0,1977.0
까뮤이앤씨,2668.0,506.0,1145.0,729.0,1904.0,39.0,305.0,208.0
까스텔바작,,,,,,,1083.0,727.0
깨끗한나라,661.0,92.0,60.0,207.0,604.0,907.0,326.0,1023.0
나노,,,,,,,,
나노브릭,,,,,,,0.0,0.0
나노스,561.0,39.0,0.0,3923.0,42.0,32.0,148.0,12.0
나노신소재,165.0,355.0,715.0,548.0,637.0,717.0,541.0,156.0
나노씨엠에스,,,,,,,715.0,962.0
나노엔텍,63.0,113.0,314.0,607.0,85.0,129.0,219.0,102.0
나노캠텍,388.0,179.0,918.0,358.0,416.0,57.0,760.0,140.0
나라엠앤디,357.0,328.0,278.0,183.0,155.0,267.0,78.0,104.0
나무가,920.0,690.0,4210.0,1462.0,13121.0,1301.0,57.0,1149.0
나무기술,972.0,1139.0,3150.0,,,,,
나스미디어,726.0,965.0,1202.0,1413.0,2805.0,2161.0,2362.0,2692.0
나우IB,,,,285.0,738.0,278.0,312.0,807.0
나이벡,1144.0,1042.0,534.0,578.0,463.0,665.0,310.0,367.0
나이스디앤비,196.0,235.0,277.0,366.0,411.0,604.0,686.0,698.0
나이스정보통신,2006.0,3117.0,3174.0,3152.0,3849.0,3220.0,3212.0,1441.0
나인테크,,,,,,,,
남광토건,5581.0,532776.0,49520.0,219.0,174.0,582.0,394.0,1400.0
남선알미늄,87.0,159.0,135.0,185.0,197.0,228.0,131.0,95.0
남성,,,,,,,,
남양유업,53816.0,184.0,31486.0,43914.0,5922.0,2371.0,34527.0,63221.0
남해화학,270.0,379.0,427.0,302.0,560.0,175.0,335.0,522.0
남화산업,,,,20255.0,24408.0,236.0,150.0,321.0
남화토건,496.0,493.0,178.0,483.0,683.0,50.0,424.0,552.0
내츄럴엔도텍,1143.0,1081.0,803.0,683.0,455.0,963.0,655.0,82.0
네오리진,563.0,601.0,81.0,15.0,3.0,79.0,56.0,36.0
네오셈,,,,,,,,
네오오토,3297.0,1626.0,1739.0,1502.0,525.0,736.0,317.0,450.0
네오위즈,2167.0,351.0,951.0,485.0,72.0,1508.0,1133.0,2802.0
네오위즈홀딩스,2482.0,6618.0,7239.0,1669.0,592.0,2312.0,2376.0,6846.0
네오이뮨텍(Reg.S),,,,,,,,
네오크레마,,,,,,,164.0,192.0
네오티스,284.0,347.0,372.0,156.0,692.0,292.0,135.0,19.0
네오팜,258.0,361.0,482.0,1094.0,1634.0,2173.0,2570.0,2318.0
네오펙트,,,,72781.0,1064.0,1299.0,1330.0,1156.0
네온테크,,,,,,,,
네이블,,,,,,,,
네이처셀,95.0,50.0,29.0,0.0,0.0,0.0,0.0,0.0
네패스,1562.0,391.0,389.0,865.0,310.0,1136.0,1405.0,1877.0
네패스아크,,,,,,,763.0,5207.0
넥센,,,,,,,,
넥센타이어,1227.0,1273.0,1234.0,1713.0,1226.0,1008.0,1153.0,162.0
넥스턴바이오,589.0,663.0,282.0,2024.0,625.0,0.0,539.0,228.0
넥스트BT,109.0,33.0,177.0,130.0,77.0,23.0,191.0,242.0
넥스트사이언스,1937.0,261.0,46.0,196.0,40.0,546.0,935.0,915.0
넥스트아이,558.0,474.0,348.0,47.0,23.0,114.0,119.0,570.0
넥스틴,,,,,,,975.0,1738.0
넥슨지티,581.0,275.0,505.0,453.0,386.0,732.0,85.0,115.0
넵튠,,,,,,,,
넷게임즈,,,,,,,,
넷마블,,,,,,,,
노랑풍선,,,,1084.0,2859.0,1201.0,352.0,1238.0
노루페인트,577.0,750.0,1600.0,464.0,1439.0,623.0,923.0,879.0
노루홀딩스,2499.0,2283.0,6182.0,1046.0,4114.0,785.0,439.0,1343.0
노바렉스,463.0,680.0,1288.0,1205.0,1061.0,1204.0,1850.0,3162.0
노바텍,,,,1571.0,1103.0,1748.0,1096.0,4993.0
노터스,,,,,,,650.0,1114.0
녹십자,6140.0,7260.0,8213.0,5451.0,4665.0,3017.0,319.0,7101.0
녹십자엠에스,290.0,488.0,76.0,165.0,142.0,1126.0,1468.0,319.0
녹십자웰빙,,,,,,,400.0,86.0
녹십자홀딩스,974.0,1245.0,1439.0,1039.0,955.0,406.0,60.0,3793.0
녹원씨엔아이,,,,,,,,
농심,15286.0,11241.0,20291.0,34464.0,15678.0,14577.0,12277.0,25682.0
농심홀딩스,10516.0,5530.0,10264.0,17111.0,8765.0,10077.0,7887.0,14746.0
농우바이오,961.0,974.0,73.0,528.0,651.0,1850.0,436.0,586.0
누리플랜,753.0,2219.0,109.0,536.0,6.0,113.0,665.0,497.0
누리플렉스,578.0,132.0,385.0,385.0,498.0,1002.0,708.0,252.0
뉴로스,577.0,56.0,91.0,79.0,396.0,417.0,1131.0,1910.0
뉴보텍,13.0,15.0,38.0,25.0,39.0,74.0,66.0,171.0
뉴인텍,89.0,91.0,43.0,228.0,73.0,80.0,57.0,13.0
뉴지랩파마,26052.0,630.0,714.0,185.0,742.0,506.0,190.0,834.0
뉴트리,,,,51.0,349.0,313.0,1056.0,2168.0
뉴파워프라즈마,,,,1685.0,2253.0,1625.0,135.0,785.0
