stock_name,2013,2014,2015,2016,2017,2018,2019,2020
SGA솔루션즈,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
SGC에너지,750.0,750.0,750.0,750.0,350.0,750.0,1000.0,1500.0
SGC이테크건설,0.0,500.0,500.0,750.0,750.0,1000.0,1500.0,1500.0
SG글로벌,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG세계물산,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHD,150.0,200.0,350.0,250.0,100.0,100.0,100.0,100.0
SH에너지화학,15.0,45.0,44.0,55.0,43.0,23.0,0.0,0.0
SIMPAC,80.0,80.0,120.0,100.0,80.0,60.0,60.0,60.0
SJM,,,,,,,,
SJM홀딩스,,,,,,,,
SK,,,,,,,,
SK5호스팩,,,,,,,0.0,0.0
SK6호스팩,,,,,,,0.0,0.0
SKC,500.0,550.0,750.0,750.0,900.0,1000.0,1000.0,1000.0
SK가스,1700.0,2000.0,2000.0,2600.0,2600.0,3000.0,3000.0,4000.0
SK네트웍스,0.0,100.0,100.0,100.0,120.0,120.0,120.0,120.0
SK디스커버리,400.0,300.0,300.0,350.0,750.0,600.0,700.0,1000.0
SK디앤디,0.0,2600.0,400.0,530.0,600.0,600.0,600.0,600.0
SK렌터카,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK리츠,,,,,,,,
SK머티리얼즈,500.0,1000.0,2560.0,3550.0,3550.0,3750.0,3850.0,4000.0
SK바이오사이언스,,,,0.0,0.0,0.0,0.0,0.0
SK바이오팜,,,,,,,,
SK아이이테크놀로지,,,,,,,,
SK이노베이션,3200.0,0.0,4800.0,6400.0,8000.0,8000.0,3000.0,0.0
SK증권,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0
SK케미칼,,,,0.0,0.0,400.0,450.0,2000.0
SK텔레콤,9400.0,9400.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
SK하이닉스,0.0,300.0,500.0,600.0,1000.0,1500.0,1000.0,1170.0
SM C&C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM Life Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
